release_num	type	dropbox_link	zenodo_link
1.207	sequences	https://www.dropbox.com/s/duie7tpicpm811c/ribogrove_1.207_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190267/files/ribogrove_1.207_sequences.fasta.gz?download=1
1.207	raw_sequences	https://www.dropbox.com/s/8dhi09ceyuqx6n4/raw_ribogrove_1.207_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190267/files/raw_ribogrove_1.207_sequences.fasta.gz?download=1
1.207	metadata	https://www.dropbox.com/s/lphyvdcneb140ng/metadata_ribogrove_1.207.zip?dl=0	https://zenodo.org/records/17190267/files/metadata_ribogrove_1.207.zip?download=1
2.208	sequences	https://www.dropbox.com/s/3lra4bxsji00ykd/ribogrove_2.208_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190407/files/ribogrove_2.208_sequences.fasta.gz?download=1
2.208	raw_sequences	https://www.dropbox.com/s/tu68q350jf0kzo8/raw_ribogrove_2.208_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190407/files/raw_ribogrove_2.208_sequences.fasta.gz?download=1
2.208	metadata	https://www.dropbox.com/s/gfhffs71kwjeven/metadata_ribogrove_2.208.zip?dl=0	https://zenodo.org/records/17190407/files/metadata_ribogrove_2.208.zip?download=1
3.209	sequences	https://www.dropbox.com/s/rbgaw8qcgh5osz3/ribogrove_3.209_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190457/files/ribogrove_3.209_sequences.fasta.gz?download=1
3.209	raw_sequences	https://www.dropbox.com/s/q2ufu35t56rgh7w/raw_ribogrove_3.209_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190457/files/raw_ribogrove_3.209_sequences.fasta.gz?download=1
3.209	metadata	https://www.dropbox.com/s/g232cwh7rd4lc2r/metadata_ribogrove_3.209.zip?dl=0	https://zenodo.org/records/17190457/files/metadata_ribogrove_3.209.zip?download=1
4.210	sequences	https://www.dropbox.com/s/erfpgop4n95nnrj/ribogrove_4.210_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190490/files/ribogrove_4.210_sequences.fasta.gz?download=1
4.210	raw_sequences	https://www.dropbox.com/s/bnmmudtxxrh4fbe/raw_ribogrove_4.210_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190490/files/raw_ribogrove_4.210_sequences.fasta.gz?download=1
4.210	metadata	https://www.dropbox.com/s/835cu999ejtztic/metadata_ribogrove_4.210.zip?dl=0	https://zenodo.org/records/17190490/files/metadata_ribogrove_4.210.zip?download=1
5.211	sequences	https://www.dropbox.com/s/8duzzbkslpirqrx/ribogrove_5.211_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190527/files/ribogrove_5.211_sequences.fasta.gz?download=1
5.211	raw_sequences	https://www.dropbox.com/s/nrl427gns7bqhau/raw_ribogrove_5.211_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190527/files/raw_ribogrove_5.211_sequences.fasta.gz?download=1
5.211	metadata	https://www.dropbox.com/s/t72cmcta8dusabo/metadata_ribogrove_5.211.zip?dl=0	https://zenodo.org/records/17190527/files/metadata_ribogrove_5.211.zip?download=1
6.212	sequences	https://www.dropbox.com/s/ra4hpzu2dx7a9u3/ribogrove_6.212_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190682/files/ribogrove_6.212_sequences.fasta.gz?download=1
6.212	raw_sequences	https://www.dropbox.com/s/045nrgdsth9rloo/raw_ribogrove_6.212_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190682/files/raw_ribogrove_6.212_sequences.fasta.gz?download=1
6.212	metadata	https://www.dropbox.com/s/5wyketcazxpraw4/metadata_ribogrove_6.212.zip?dl=0	https://zenodo.org/records/17190682/files/metadata_ribogrove_6.212.zip?download=1
7.213	sequences	https://www.dropbox.com/s/jxkgghrqngwpywm/ribogrove_7.213_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190826/files/ribogrove_7.213_sequences.fasta.gz?download=1
7.213	raw_sequences	https://www.dropbox.com/s/ywp136pfwsa3x4m/raw_ribogrove_7.213_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190826/files/raw_ribogrove_7.213_sequences.fasta.gz?download=1
7.213	metadata	https://www.dropbox.com/s/8fxf1stpxvq8af2/metadata_ribogrove_7.213.zip?dl=0	https://zenodo.org/records/17190826/files/metadata_ribogrove_7.213.zip?download=1
8.214	sequences	https://www.dropbox.com/s/w5fppbgr22ev8jd/ribogrove_8.214_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190873/files/ribogrove_8.214_sequences.fasta.gz?download=1
8.214	metadata	https://www.dropbox.com/s/jcry1eipj3j0mmc/metadata_ribogrove_8.214.zip?dl=0	https://zenodo.org/records/17190873/files/metadata_ribogrove_8.214.zip?download=1
9.215	sequences	https://www.dropbox.com/s/hsexqh2h55tippb/ribogrove_9.215_sequences.fasta.gz?dl=0	https://zenodo.org/records/17190948/files/ribogrove_9.215_sequences.fasta.gz?download=1
9.215	metadata	https://www.dropbox.com/s/c1mna630rm0dhar/metadata_ribogrove_9.215.zip?dl=0	https://zenodo.org/records/17190948/files/metadata_ribogrove_9.215.zip?download=1
10.216	sequences	https://www.dropbox.com/s/a91rb9udlr1v3j3/ribogrove_10.216_sequences.fasta.gz?dl=0	https://zenodo.org/records/17191439/files/ribogrove_10.216_sequences.fasta.gz?download=1
10.216	metadata	https://www.dropbox.com/s/m2eq2k3g132i1xm/metadata_ribogrove_10.216.zip?dl=0	https://zenodo.org/records/17191439/files/metadata_ribogrove_10.216.zip?download=1
11.217	sequences	https://www.dropbox.com/s/slpnzhmf554g5jr/ribogrove_11.217_sequences.fasta.gz?dl=0	https://zenodo.org/records/17191620/files/ribogrove_11.217_sequences.fasta.gz?download=1
11.217	metadata	https://www.dropbox.com/s/djr8dwj1b1rjz3a/metadata_ribogrove_11.217.zip?dl=0	https://zenodo.org/records/17191620/files/metadata_ribogrove_11.217.zip?download=1
12.218	sequences	https://www.dropbox.com/s/y247nj6oh27aoe8/ribogrove_12.218_sequences.fasta.gz?dl=0	https://zenodo.org/records/17191895/files/ribogrove_12.218_sequences.fasta.gz?download=1
12.218	metadata	https://www.dropbox.com/s/7ralplwup8b6p4x/metadata_ribogrove_12.218.zip?dl=0	https://zenodo.org/records/17191895/files/metadata_ribogrove_12.218.zip?download=1
13.219	sequences	https://www.dropbox.com/scl/fi/qw50iuifa2yysevcy58ht/ribogrove_13.219_sequences.fasta.gz?rlkey=uwbrhxyxcou82rie20lmzmtt9&dl=0	https://zenodo.org/records/17192147/files/ribogrove_13.219_sequences.fasta.gz?download=1
13.219	metadata	https://www.dropbox.com/scl/fi/b89nnjelmerg05clwnk8n/metadata_ribogrove_13.219.zip?rlkey=j4hrnbo40dls46uykkpy8rgkl&dl=0	https://zenodo.org/records/17192147/files/metadata_ribogrove_13.219.zip?download=1
14.220	sequences	https://www.dropbox.com/scl/fi/nz5ivu1gbk5tupi9cfzvs/ribogrove_14.220_sequences.fasta.gz?rlkey=mdb0mkuez1wy7shz0l8880w7s&dl=0	https://zenodo.org/records/17192510/files/ribogrove_14.220_sequences.fasta.gz?download=1
14.220	metadata	https://www.dropbox.com/scl/fi/ue2luvjb792k2cbq8nf83/metadata_ribogrove_14.220.zip?rlkey=vva6ju04wst27ixv0hxf03ne0&dl=0	https://zenodo.org/records/17192510/files/metadata_ribogrove_14.220.zip?download=1
15.221	sequences	https://www.dropbox.com/scl/fi/01653ki2ng4tiqluctme5/ribogrove_15.221_sequences.fasta.gz?rlkey=gbxzwmb1s8bkuxtzslsh5w1rs&dl=0	https://zenodo.org/records/17192624/files/ribogrove_15.221_sequences.fasta.gz?download=1
15.221	metadata	https://www.dropbox.com/scl/fi/ps1m8wa0gxeisekqtwe7q/metadata_ribogrove_15.221.zip?rlkey=cm2h6yr4rhegyczai1436kclr&dl=0	https://zenodo.org/records/17192624/files/metadata_ribogrove_15.221.zip?download=1
16.222	sequences	https://www.dropbox.com/scl/fi/vo9oa6b6k96kuy2ighkv7/ribogrove_16.222_sequences.fasta.gz?rlkey=tk5qatvtktf9ejron57r7x41v&dl=0	https://zenodo.org/records/17193148/files/ribogrove_16.222_sequences.fasta.gz?download=1
16.222	metadata	https://www.dropbox.com/scl/fi/5ck5uum02bdalvsksk3xy/metadata_ribogrove_16.222.zip?rlkey=bwl7xvhck40vfkonzh5thk4v2&dl=0	https://zenodo.org/records/17193148/files/metadata_ribogrove_16.222.zip?download=1
17.223	sequences	https://www.dropbox.com/scl/fi/t9bxd2q2qdws1amlltysh/ribogrove_17.223_sequences.fasta.gz?rlkey=znr5436oibfxnzgnggo399ia7&dl=0	https://zenodo.org/records/17193318/files/ribogrove_17.223_sequences.fasta.gz?download=1
17.223	metadata	https://www.dropbox.com/scl/fi/pcpuqbzv3b09ffpr92uuh/metadata_ribogrove_17.223.zip?rlkey=itrb460xdwf8nq61d3wl4cddb&dl=0	https://zenodo.org/records/17193318/files/metadata_ribogrove_17.223.zip?download=1
18.224	sequences	https://www.dropbox.com/scl/fi/yph97f24n5cdv18ath3ig/ribogrove_18.224_sequences.fasta.gz?rlkey=5q7ojs4p6j4hiqhpqzoh5ajy3&st=42q1qmtb&dl=0	https://zenodo.org/records/17193515/files/ribogrove_18.224_sequences.fasta.gz?download=1
18.224	metadata	https://www.dropbox.com/scl/fi/ctqwb1abfr8sbl91cjabw/metadata_ribogrove_18.224.zip?rlkey=glwo9fld1vf2qc3wpv0t8z0ok&st=459mtfrs&dl=0	https://zenodo.org/records/17193515/files/metadata_ribogrove_18.224.zip?download=1
19.225	sequences	https://www.dropbox.com/scl/fi/y60iv2txhsk8yrclj5to9/ribogrove_19.225_sequences.fasta.gz?rlkey=t10kspo9mjg8189yz6sqvodmg&st=v0vpgik9&dl=0	https://zenodo.org/records/17193566/files/ribogrove_19.225_sequences.fasta.gz?download=1
19.225	metadata	https://www.dropbox.com/scl/fi/lk9io8es18fmh1shi9r1q/metadata_ribogrove_19.225.zip?rlkey=x8i9efqumlbtya5hq7hkhdvz5&st=aamks0u1&dl=0	https://zenodo.org/records/17193566/files/metadata_ribogrove_19.225.zip?download=1
20.226	sequences	https://www.dropbox.com/scl/fi/y0sxfnqy7iehogz7vqj43/ribogrove_20.226_sequences.fasta.gz?rlkey=d6iz5sibxidoizsw29fbj9eqg&st=765kz8s6&dl=0	https://zenodo.org/records/17193679/files/ribogrove_20.226_sequences.fasta.gz?download=1
20.226	metadata	https://www.dropbox.com/scl/fi/dqyp8b91q1c3x1v44ijbu/metadata_ribogrove_20.226.zip?rlkey=0kz7lqg3d285l61fk3c3oj1z3&st=0htb3r7n&dl=0	https://zenodo.org/records/17193679/files/metadata_ribogrove_20.226.zip?download=1
21.227	sequences	https://www.dropbox.com/scl/fi/dv7wnh4kv5gb7poiffblv/ribogrove_21.227_sequences.fasta.gz?rlkey=mp0e7odfdawu8agz0knppd2q5&st=5n60ym98&dl=0	https://zenodo.org/records/17199879/files/ribogrove_21.227_sequences.fasta.gz?download=1
21.227	metadata	https://www.dropbox.com/scl/fi/ts4q1krwzsgntj8o8acss/metadata_ribogrove_21.227.zip?rlkey=clptjp24l2y8cur5al8ba3i1m&st=tz87tzhy&dl=0	https://zenodo.org/records/17199879/files/metadata_ribogrove_21.227.zip?download=1
22.228	sequences	https://www.dropbox.com/scl/fi/i06c815r8resp8ob9lpex/ribogrove_22.228_sequences.fasta.gz?rlkey=5hqffjj3x7yrgbttgy76cpvgi&st=u7yf4znn&dl=0	https://zenodo.org/records/17200498/files/ribogrove_22.228_sequences.fasta.gz?download=1
22.228	metadata	https://www.dropbox.com/scl/fi/7g1vow1kajgqqb11s9hiz/metadata_ribogrove_22.228.zip?rlkey=1m6uvu73p7liywwuw5oiffdwv&st=wmg8f30v&dl=0	https://zenodo.org/records/17200498/files/metadata_ribogrove_22.228.zip?download=1
23.229	sequences	https://www.dropbox.com/scl/fi/rj164ushmjd9rrot1x81h/ribogrove_23.229_sequences.fasta.gz?rlkey=05byhj1imum2h5ge10sm0nqyt&st=htjbi0v4&dl=0	https://zenodo.org/records/17200783/files/ribogrove_23.229_sequences.fasta.gz?download=1
23.229	metadata	https://www.dropbox.com/scl/fi/ok93owzkz6w7u6hte3ypg/metadata_ribogrove_23.229.zip?rlkey=9qjqjv5rk3c7mkdemq90r7mwn&st=32fwac5r&dl=0	https://zenodo.org/records/17200783/files/metadata_ribogrove_23.229.zip?download=1
24.230	sequences	https://www.dropbox.com/scl/fi/b2tcbkv1526jpm95ib70p/ribogrove_24.230_sequences.fasta.gz?rlkey=xvboqqpyi18etlsuyicowf6q2&st=z07u7pef&dl=0	https://zenodo.org/records/17201015/files/ribogrove_24.230_sequences.fasta.gz?download=1
24.230	metadata	https://www.dropbox.com/scl/fi/ya8bgq38r9m0s1wb195ba/metadata_ribogrove_24.230.zip?rlkey=27yqo8kxrbqpi4uzlhi8vm4qa&st=30hsr716&dl=0	https://zenodo.org/records/17201015/files/metadata_ribogrove_24.230.zip?download=1
25.231	sequences	https://www.dropbox.com/scl/fi/lru5t7najtycu97b58l35/ribogrove_25.231_sequences.fasta.gz?rlkey=hvjqmz55y4f5ph5huf3di08fs&st=ocau1azr&dl=0	https://zenodo.org/records/17201214/files/ribogrove_25.231_sequences.fasta.gz?download=1
25.231	metadata	https://www.dropbox.com/scl/fi/kpda3f9s7jfm8gvlt9oaz/metadata_ribogrove_25.231.zip?rlkey=miexq5k0jvmborr2muaxtlgpj&st=clse8hut&dl=0	https://zenodo.org/records/17201214/files/metadata_ribogrove_25.231.zip?download=1
26.232	sequences	https://www.dropbox.com/scl/fi/vke4kw2ikoooqzv6fap1x/ribogrove_26.232_sequences.fasta.gz?rlkey=ctdypkvhwz089hk9kh6pres9a&st=y2trswt4&dl=0	https://zenodo.org/records/17201587/files/ribogrove_26.232_sequences.fasta.gz?download=1
26.232	metadata	https://www.dropbox.com/scl/fi/9kwut0ml6c6hinsr9ehsz/metadata_ribogrove_26.232.zip?rlkey=p4zh7xyyyncy8b6kr5j1unk1t&st=7zufcdou&dl=0	https://zenodo.org/records/17201587/files/metadata_ribogrove_26.232.zip?download=1
